model,position,alpha,cv_rmse_mean,cv_rmse_se,cv_mae_mean,folds,one_se_threshold,selected,selection_rule
Full Ridge,GK,0.001,1.50534166665728,0.12608474057365815,0.6734177708671463,3,1.625453882021649,False,minimum rolling-origin RMSE
Full Ridge,GK,0.0031622776601683794,1.5053411295453378,0.12608348764462834,0.6734183440911528,3,1.625453882021649,False,minimum rolling-origin RMSE
Full Ridge,GK,0.01,1.5053394319742086,0.126079526464697,0.6734201567255491,3,1.625453882021649,False,minimum rolling-origin RMSE
Full Ridge,GK,0.03162277660168379,1.505334073033292,0.12606700940150398,0.6734258881877458,3,1.625453882021649,False,minimum rolling-origin RMSE
Full Ridge,GK,0.1,1.5053172187836517,0.1260275195997016,0.6734440067418985,3,1.625453882021649,False,minimum rolling-origin RMSE
Full Ridge,GK,0.31622776601683794,1.5052648338503563,0.125903560363533,0.6735012431197678,3,1.625453882021649,False,minimum rolling-origin RMSE
Full Ridge,GK,1.0,1.5051080237893013,0.1255205119059284,0.6736816358248369,3,1.625453882021649,False,minimum rolling-origin RMSE
Full Ridge,GK,3.1622776601683795,1.504692392354082,0.12439169009052739,0.6742457919961883,3,1.625453882021649,False,minimum rolling-origin RMSE
Full Ridge,GK,10.0,1.5039792429641603,0.12147463905748876,0.675962519154679,3,1.625453882021649,True,minimum rolling-origin RMSE
Full Ridge,GK,31.622776601683793,1.5044722405001734,0.1158768698399485,0.6810405572688452,3,1.625453882021649,False,minimum rolling-origin RMSE
Full Ridge,GK,100.0,1.5097264087221909,0.10954518179009422,0.6931825361580937,3,1.625453882021649,False,minimum rolling-origin RMSE
Full Ridge,GK,316.2277660168379,1.5198157785978867,0.10851929817629802,0.716691607542775,3,1.625453882021649,False,minimum rolling-origin RMSE
Full Ridge,GK,1000.0,1.5416509895122823,0.12027453744396283,0.7660187495420171,3,1.625453882021649,False,minimum rolling-origin RMSE
Full Ridge,DEF,0.001,2.018451972909587,0.04965980341450053,1.1180777883266821,3,2.0627173375348704,False,minimum rolling-origin RMSE
Full Ridge,DEF,0.0031622776601683794,2.018363759664448,0.04966448558800339,1.11833263815769,3,2.0627173375348704,False,minimum rolling-origin RMSE
Full Ridge,DEF,0.01,2.018380461720752,0.049627917793922845,1.1186354228524418,3,2.0627173375348704,False,minimum rolling-origin RMSE
Full Ridge,DEF,0.03162277660168379,2.0184374845243216,0.049580976010790624,1.1188371006512272,3,2.0627173375348704,False,minimum rolling-origin RMSE
Full Ridge,DEF,0.1,2.0184690769135236,0.04955352997548132,1.1189241865579664,3,2.0627173375348704,False,minimum rolling-origin RMSE
Full Ridge,DEF,0.31622776601683794,2.018473458836189,0.04953756443358273,1.1189512049689077,3,2.0627173375348704,False,minimum rolling-origin RMSE
Full Ridge,DEF,1.0,2.0184494598340788,0.049514941765790535,1.1189475010983478,3,2.0627173375348704,False,minimum rolling-origin RMSE
Full Ridge,DEF,3.1622776601683795,2.0183626230652045,0.049453915209560315,1.1189086438890024,3,2.0627173375348704,False,minimum rolling-origin RMSE
Full Ridge,DEF,10.0,2.0181029084954303,0.04927426092572049,1.1187869265616313,3,2.0627173375348704,False,minimum rolling-origin RMSE
Full Ridge,DEF,31.622776601683793,2.0174406380174177,0.04879256742395169,1.1185158012710066,3,2.0627173375348704,False,minimum rolling-origin RMSE
Full Ridge,DEF,100.0,2.0163445874153028,0.04779559439033649,1.1183946151216857,3,2.0627173375348704,False,minimum rolling-origin RMSE
Full Ridge,DEF,316.2277660168379,2.016193317123733,0.046524020411137665,1.1207894888402663,3,2.0627173375348704,True,minimum rolling-origin RMSE
Full Ridge,DEF,1000.0,2.0193585046244613,0.046130549915762147,1.131587631374111,3,2.0627173375348704,False,minimum rolling-origin RMSE
Full Ridge,MID,0.001,2.0929144050721114,0.06255226207700813,1.0905978431166574,3,2.155525500262614,False,minimum rolling-origin RMSE
Full Ridge,MID,0.0031622776601683794,2.0924694956269194,0.06291274881757035,1.0903356442918666,3,2.155525500262614,False,minimum rolling-origin RMSE
Full Ridge,MID,0.01,2.0921971622303825,0.06313160338920866,1.0901463007038492,3,2.155525500262614,False,minimum rolling-origin RMSE
Full Ridge,MID,0.03162277660168379,2.0920864136073227,0.06321974711658503,1.090060204843479,3,2.155525500262614,False,minimum rolling-origin RMSE
Full Ridge,MID,0.1,2.092048318164908,0.06324994697065875,1.0900297203227574,3,2.155525500262614,False,minimum rolling-origin RMSE
Full Ridge,MID,0.31622776601683794,2.092035511255288,0.06326029215474997,1.0900212842425157,3,2.155525500262614,False,minimum rolling-origin RMSE
Full Ridge,MID,1.0,2.092029999226602,0.0632654230190403,1.0900236659644376,3,2.155525500262614,False,minimum rolling-origin RMSE
Full Ridge,MID,3.1622776601683795,2.092023867863197,0.06327286775573598,1.0900405877566528,3,2.155525500262614,False,minimum rolling-origin RMSE
Full Ridge,MID,10.0,2.0920094293985443,0.0632936811516037,1.0900976876239894,3,2.155525500262614,False,minimum rolling-origin RMSE
Full Ridge,MID,31.622776601683793,2.0919775394298896,0.06335871303468524,1.0902962501911004,3,2.155525500262614,False,minimum rolling-origin RMSE
Full Ridge,MID,100.0,2.091969559583508,0.06355594067910554,1.0910248180914144,3,2.155525500262614,True,minimum rolling-origin RMSE
