model,position,feature,feature_label,alpha,standardized_coefficient,selected_nonzero
Full Ridge,GK,expected_assists,xA,10.0,-0.00019232593479401105,True
Full Ridge,GK,expected_goal_involvements,xGI,10.0,0.009552017409067255,True
Full Ridge,GK,expected_goals,xG,10.0,0.11052110716281598,True
Full Ridge,GK,expected_goals_conceded,xGC,10.0,-0.14881904124413098,True
Full Ridge,GK,ict_index,ICT,10.0,0.09906248151440884,True
Full Ridge,GK,selected,Selected,10.0,0.0907431952998972,True
Full Ridge,GK,starts,Starts,10.0,1.1653483880836113,True
Full Ridge,DEF,expected_assists,xA,316.2277660168379,0.036488111702835516,True
Full Ridge,DEF,expected_goal_involvements,xGI,316.2277660168379,0.004424465282072319,True
Full Ridge,DEF,expected_goals,xG,316.2277660168379,-0.0338895691183395,True
Full Ridge,DEF,expected_goals_conceded,xGC,316.2277660168379,0.009514696103822936,True
Full Ridge,DEF,ict_index,ICT,316.2277660168379,0.45402493932574856,True
Full Ridge,DEF,selected,Selected,316.2277660168379,0.048046850174148184,True
Full Ridge,DEF,starts,Starts,316.2277660168379,0.5064578362663369,True
Full Ridge,MID,expected_assists,xA,100.0,0.1338501745357947,True
Full Ridge,MID,expected_goal_involvements,xGI,100.0,0.10529879929795183,True
Full Ridge,MID,expected_goals,xG,100.0,0.06657670941178033,True
Full Ridge,MID,expected_goals_conceded,xGC,100.0,0.22070711337444388,True
Full Ridge,MID,ict_index,ICT,100.0,0.5127849130474995,True
Full Ridge,MID,selected,Selected,100.0,0.13065120836502261,True
Full Ridge,MID,starts,Starts,100.0,0.32980712486795116,True
Full Ridge,FWD,expected_assists,xA,316.2277660168379,0.15672476979865868,True
Full Ridge,FWD,expected_goal_involvements,xGI,316.2277660168379,0.06529741987805938,True
Full Ridge,FWD,expected_goals,xG,316.2277660168379,0.03482906808022082,True
Full Ridge,FWD,expected_goals_conceded,xGC,316.2277660168379,0.352249826237962,True
Full Ridge,FWD,ict_index,ICT,316.2277660168379,0.42541497121441324,True
Full Ridge,FWD,selected,Selected,316.2277660168379,0.25411315235361215,True
Full Ridge,FWD,starts,Starts,316.2277660168379,0.27874038439438303,True
Reduced Ridge,GK,expected_goal_involvements,xGI,10.0,0.014498895170180544,True
Reduced Ridge,GK,expected_goals_conceded,xGC,10.0,-0.17134690422374166,True
Reduced Ridge,GK,ict_index,ICT,10.0,0.10086987876034265,True
Reduced Ridge,GK,selected,Selected,10.0,0.09293046405887219,True
Reduced Ridge,GK,starts,Starts,10.0,1.1925699601769044,True
Reduced Ridge,DEF,expected_goal_involvements,xGI,316.2277660168379,-0.0037343684747182197,True
Reduced Ridge,DEF,expected_goals_conceded,xGC,316.2277660168379,0.005744472539732249,True
Reduced Ridge,DEF,ict_index,ICT,316.2277660168379,0.47014418451337053,True
Reduced Ridge,DEF,selected,Selected,316.2277660168379,0.05700568051254025,True
Reduced Ridge,DEF,starts,Starts,316.2277660168379,0.5001846505985907,True
Reduced Ridge,MID,expected_goal_involvements,xGI,31.622776601683793,0.21210306777655666,True
Reduced Ridge,MID,expected_goals_conceded,xGC,31.622776601683793,0.21330235166145745,True
Reduced Ridge,MID,ict_index,ICT,31.622776601683793,0.5934920389615252,True
Reduced Ridge,MID,selected,Selected,31.622776601683793,0.13282106325280046,True
Reduced Ridge,MID,starts,Starts,31.622776601683793,0.32607579272919635,True
Reduced Ridge,FWD,expected_goal_involvements,xGI,316.2277660168379,0.1205645186590381,True
Reduced Ridge,FWD,expected_goals_conceded,xGC,316.2277660168379,0.36323109888756766,True
Reduced Ridge,FWD,ict_index,ICT,316.2277660168379,0.46986639248543866,True
Reduced Ridge,FWD,selected,Selected,316.2277660168379,0.26838144368527267,True
Reduced Ridge,FWD,starts,Starts,316.2277660168379,0.3035596503264109,True
Parsimonious Ridge,GK,expected_goal_involvements,xGI,3.1622776601683795,0.013692008586053355,True
Parsimonious Ridge,GK,expected_goals_conceded,xGC,3.1622776601683795,-0.1481662118899596,True
Parsimonious Ridge,GK,selected,Selected,3.1622776601683795,0.08901476471617091,True
Parsimonious Ridge,GK,starts,Starts,3.1622776601683795,1.2723798055867397,True
Parsimonious Ridge,DEF,expected_goal_involvements,xGI,316.2277660168379,0.21598070730558466,True
Parsimonious Ridge,DEF,expected_goals_conceded,xGC,316.2277660168379,0.07332366108543659,True
Parsimonious Ridge,DEF,selected,Selected,316.2277660168379,0.08852202092029617,True
Parsimonious Ridge,DEF,starts,Starts,316.2277660168379,0.6755305464431228,True
Parsimonious Ridge,MID,expected_goal_involvements,xGI,31.622776601683793,0.5824043837175172,True
Parsimonious Ridge,MID,expected_goals_conceded,xGC,31.622776601683793,0.21341256265685263,True
Parsimonious Ridge,MID,selected,Selected,31.622776601683793,0.1553407974812575,True
Parsimonious Ridge,MID,starts,Starts,31.622776601683793,0.5493211942813402,True
Parsimonious Ridge,FWD,expected_goal_involvements,xGI,316.2277660168379,0.3649259801892174,True
Parsimonious Ridge,FWD,expected_goals_conceded,xGC,316.2277660168379,0.4141665298393839,True
Parsimonious Ridge,FWD,selected,Selected,316.2277660168379,0.30243490529795963,True
Parsimonious Ridge,FWD,starts,Starts,316.2277660168379,0.4352269916784559,True
Full LASSO,GK,expected_assists,xA,0.46415888336127725,0.0,False
Full LASSO,GK,expected_goal_involvements,xGI,0.46415888336127725,0.0,False
Full LASSO,GK,expected_goals,xG,0.46415888336127725,0.0,False
Full LASSO,GK,expected_goals_conceded,xGC,0.46415888336127725,0.0,False
Full LASSO,GK,ict_index,ICT,0.46415888336127725,0.0,False
Full LASSO,GK,selected,Selected,0.46415888336127725,0.0,False
Full LASSO,GK,starts,Starts,0.46415888336127725,0.7301954307303608,True
Full LASSO,DEF,expected_assists,xA,0.46415888336127725,0.0,False
Full LASSO,DEF,expected_goal_involvements,xGI,0.46415888336127725,0.0,False
Full LASSO,DEF,expected_goals,xG,0.46415888336127725,0.0,False
Full LASSO,DEF,expected_goals_conceded,xGC,0.46415888336127725,0.0,False
Full LASSO,DEF,ict_index,ICT,0.46415888336127725,0.25977604331026166,True
Full LASSO,DEF,selected,Selected,0.46415888336127725,0.0,False
Full LASSO,DEF,starts,Starts,0.46415888336127725,0.26832682376408123,True
Full LASSO,MID,expected_assists,xA,0.21544346900318823,0.0,False
