series,name,team,position,value,role,is_captain,is_vice_captain,xi_cap,xi_spend,bench_spend,total_spend
Simple Avg.,Bukayo Saka,Arsenal,MID,9.1,XI,False,True,83.5,83.39999999999999,16.5,99.89999999999999
Simple Avg.,Dominic Solanke,Bournemouth,FWD,7.0,XI,False,False,83.5,83.39999999999999,16.5,99.89999999999999
Simple Avg.,Douglas Luiz Soares de Paulo,Aston Villa,MID,5.5,XI,False,False,83.5,83.39999999999999,16.5,99.89999999999999
Simple Avg.,Gabriel dos Santos Magalhães,Arsenal,DEF,5.2,XI,False,False,83.5,83.39999999999999,16.5,99.89999999999999
Simple Avg.,Kieran Trippier,Newcastle,DEF,6.9,XI,False,False,83.5,83.39999999999999,16.5,99.89999999999999
Simple Avg.,Mohamed Salah,Liverpool,MID,13.0,XI,False,False,83.5,83.39999999999999,16.5,99.89999999999999
Simple Avg.,Ollie Watkins,Aston Villa,FWD,8.8,XI,True,False,83.5,83.39999999999999,16.5,99.89999999999999
Simple Avg.,Phil Foden,Man City,MID,8.1,XI,False,False,83.5,83.39999999999999,16.5,99.89999999999999
Simple Avg.,Son Heung-min,Spurs,MID,9.6,XI,False,False,83.5,83.39999999999999,16.5,99.89999999999999
Simple Avg.,William Saliba,Arsenal,DEF,5.7,XI,False,False,83.5,83.39999999999999,16.5,99.89999999999999
Simple Avg.,Đorđe Petrović,Chelsea,GK,4.5,XI,False,False,83.5,83.39999999999999,16.5,99.89999999999999
Simple Avg.,Alphonse Areola,West Ham,GK,4.2,Bench,False,False,83.5,83.39999999999999,16.5,99.89999999999999
Simple Avg.,Amari'i Bell,Luton,DEF,3.9,Bench,False,False,83.5,83.39999999999999,16.5,99.89999999999999
Simple Avg.,Cameron Archer,Sheffield Utd,FWD,4.3,Bench,False,False,83.5,83.39999999999999,16.5,99.89999999999999
Simple Avg.,Conor Bradley,Liverpool,DEF,4.1,Bench,False,False,83.5,83.39999999999999,16.5,99.89999999999999
Weighted Avg.,Bukayo Saka,Arsenal,MID,9.1,XI,True,False,83.5,80.2,16.5,96.7
Weighted Avg.,Cole Palmer,Chelsea,MID,5.8,XI,False,False,83.5,80.2,16.5,96.7
Weighted Avg.,Dominic Solanke,Bournemouth,FWD,7.0,XI,False,False,83.5,80.2,16.5,96.7
Weighted Avg.,Gabriel dos Santos Magalhães,Arsenal,DEF,5.2,XI,False,False,83.5,80.2,16.5,96.7
Weighted Avg.,Jordan Pickford,Everton,GK,4.6,XI,False,False,83.5,80.2,16.5,96.7
Weighted Avg.,Mohamed Salah,Liverpool,MID,13.0,XI,False,False,83.5,80.2,16.5,96.7
Weighted Avg.,Ollie Watkins,Aston Villa,FWD,8.8,XI,False,True,83.5,80.2,16.5,96.7
