method,solution_id,design,design_family,xi_cap,bench_budget_rule,delta,is_nondominated,is_compromise,xi_score,bench_score,xi_spend,bench_spend,total_spend,formation,captain,vice_captain
Simple average,Simple average | two_stage | fixed_split | xi_cap=55,"Two-stage fixed allocation, XI cap £55m",Two-stage,55.0,fixed_split,,,False,47.20384615384615,20.0,55.0,34.7,89.7,4-5-1,Douglas Luiz Soares de Paulo,Cole Palmer
Simple average,Simple average | two_stage | actual_remainder | xi_cap=55,"Two-stage actual remainder, XI cap £55m",Two-stage,55.0,actual_remainder,,,False,47.20384615384615,20.0,55.0,34.7,89.7,4-5-1,Douglas Luiz Soares de Paulo,Cole Palmer
Simple average,Simple average | two_stage | fixed_split | xi_cap=60,"Two-stage fixed allocation, XI cap £60m",Two-stage,60.0,fixed_split,,,False,52.78076923076923,18.346153846153847,60.00000000000001,26.3,86.30000000000001,3-4-3,Ollie Watkins,Douglas Luiz Soares de Paulo
Simple average,Simple average | two_stage | actual_remainder | xi_cap=60,"Two-stage actual remainder, XI cap £60m",Two-stage,60.0,actual_remainder,,,False,52.78076923076923,18.346153846153847,60.00000000000001,26.3,86.30000000000001,3-4-3,Ollie Watkins,Douglas Luiz Soares de Paulo
Simple average,Simple average | two_stage | fixed_split | xi_cap=65,"Two-stage fixed allocation, XI cap £65m",Two-stage,65.0,fixed_split,,,False,56.300000000000004,18.230769230769234,64.9,33.1,98.0,3-4-3,Ollie Watkins,Bukayo Saka
Simple average,Simple average | two_stage | actual_remainder | xi_cap=65,"Two-stage actual remainder, XI cap £65m",Two-stage,65.0,actual_remainder,,,False,56.300000000000004,18.230769230769234,64.9,33.1,98.0,3-4-3,Ollie Watkins,Bukayo Saka
Simple average,Simple average | two_stage | fixed_split | xi_cap=70,"Two-stage fixed allocation, XI cap £70m",Two-stage,70.0,fixed_split,,,False,59.38,16.576923076923077,70.0,26.800000000000004,96.80000000000001,3-5-2,Ollie Watkins,Bukayo Saka
Simple average,Simple average | two_stage | actual_remainder | xi_cap=70,"Two-stage actual remainder, XI cap £70m",Two-stage,70.0,actual_remainder,,,False,59.38,16.576923076923077,70.0,26.800000000000004,96.80000000000001,3-5-2,Ollie Watkins,Bukayo Saka
Simple average,Simple average | two_stage | fixed_split | xi_cap=75,"Two-stage fixed allocation, XI cap £75m",Two-stage,75.0,fixed_split,,,False,61.14923076923077,15.653846153846153,74.3,24.5,98.8,3-5-2,Ollie Watkins,Bukayo Saka
Simple average,Simple average | two_stage | actual_remainder | xi_cap=75,"Two-stage actual remainder, XI cap £75m",Two-stage,75.0,actual_remainder,,,False,61.14923076923077,15.941538461538462,74.3,25.700000000000003,100.0,3-5-2,Ollie Watkins,Bukayo Saka
Simple average,Simple average | two_stage | fixed_split | xi_cap=80,"Two-stage fixed allocation, XI cap £80m",Two-stage,80.0,fixed_split,,,False,62.18769230769231,14.443076923076923,79.60000000000001,20.0,99.60000000000001,3-5-2,Ollie Watkins,Bukayo Saka
Simple average,Simple average | two_stage | actual_remainder | xi_cap=80,"Two-stage actual remainder, XI cap £80m",Two-stage,80.0,actual_remainder,,,False,62.18769230769231,14.615384615384617,79.60000000000001,20.1,99.70000000000002,3-5-2,Ollie Watkins,Bukayo Saka
Simple average,Simple average | two_stage | fixed_split | xi_cap=83.5,"Two-stage fixed allocation, XI cap £83.5m",Two-stage,83.5,fixed_split,,,False,62.90769230769231,9.956153846153846,83.39999999999999,16.5,99.89999999999999,3-5-2,Ollie Watkins,Bukayo Saka
Simple average,Simple average | two_stage | actual_remainder | xi_cap=83.5,"Two-stage actual remainder, XI cap £83.5m",Two-stage,83.5,actual_remainder,,,False,62.90769230769231,10.326923076923077,83.39999999999999,16.6,100.0,3-5-2,Ollie Watkins,Bukayo Saka
Simple average,Simple average | joint_pareto | delta=0.000,Joint Pareto δ=0.0%,Joint Pareto,,endogenous,0.0,True,False,62.90769230769231,10.326923076923077,83.39999999999999,16.6,100.0,3-5-2,Ollie Watkins,Bukayo Saka
Simple average,Simple average | joint_pareto | delta=0.005,Joint Pareto δ=0.5%,Joint Pareto,,endogenous,0.005,True,False,62.61230769230769,13.886153846153846,81.5,18.4,99.9,3-5-2,Ollie Watkins,Bukayo Saka
Simple average,Simple average | joint_pareto | delta=0.010,Joint Pareto δ=1.0%,Joint Pareto,,endogenous,0.01,True,False,62.298461538461545,14.186153846153847,81.19999999999999,18.7,99.89999999999999,3-5-2,Ollie Watkins,Bukayo Saka
Simple average,Simple average | joint_pareto | delta=0.020,Joint Pareto δ=2.0%,Joint Pareto,,endogenous,0.02,True,True,61.65692307692308,15.384615384615387,78.7,21.1,99.80000000000001,3-5-2,Ollie Watkins,Bukayo Saka
Simple average,Simple average | joint_pareto | delta=0.050,Joint Pareto δ=5.0%,Joint Pareto,,endogenous,0.05,True,False,59.77846153846154,17.312307692307694,76.5,23.499999999999996,100.0,4-5-1,Ollie Watkins,Bukayo Saka
Simple average,Simple average | joint_pareto | delta=0.100,Joint Pareto δ=10.0%,Joint Pareto,,endogenous,0.1,True,False,56.636923076923075,20.453846153846154,72.0,28.0,100.0,5-3-2,Ollie Watkins,Phil Foden
Weighted average,Weighted average | two_stage | fixed_split | xi_cap=55,"Two-stage fixed allocation, XI cap £55m",Two-stage,55.0,fixed_split,,,False,53.48524216524217,21.25925925925926,55.00000000000001,29.799999999999997,84.80000000000001,4-4-2,Cole Palmer,Douglas Luiz Soares de Paulo
Weighted average,Weighted average | two_stage | actual_remainder | xi_cap=55,"Two-stage actual remainder, XI cap £55m",Two-stage,55.0,actual_remainder,,,False,53.48524216524217,21.25925925925926,55.00000000000001,29.799999999999997,84.80000000000001,4-4-2,Cole Palmer,Douglas Luiz Soares de Paulo
Weighted average,Weighted average | two_stage | fixed_split | xi_cap=60,"Two-stage fixed allocation, XI cap £60m",Two-stage,60.0,fixed_split,,,False,58.41515669515669,19.606609686609687,60.0,27.700000000000003,87.7,4-5-1,Bukayo Saka,Cole Palmer
Weighted average,Weighted average | two_stage | actual_remainder | xi_cap=60,"Two-stage actual remainder, XI cap £60m",Two-stage,60.0,actual_remainder,,,False,58.41515669515669,19.606609686609687,60.0,27.700000000000003,87.7,4-5-1,Bukayo Saka,Cole Palmer
Weighted average,Weighted average | two_stage | fixed_split | xi_cap=65,"Two-stage fixed allocation, XI cap £65m",Two-stage,65.0,fixed_split,,,False,62.25811965811966,16.73196581196581,65.0,24.599999999999998,89.6,3-5-2,Bukayo Saka,Ollie Watkins
Weighted average,Weighted average | two_stage | actual_remainder | xi_cap=65,"Two-stage actual remainder, XI cap £65m",Two-stage,65.0,actual_remainder,,,False,62.25811965811966,16.73196581196581,65.0,24.599999999999998,89.6,3-5-2,Bukayo Saka,Ollie Watkins
Weighted average,Weighted average | two_stage | fixed_split | xi_cap=70,"Two-stage fixed allocation, XI cap £70m",Two-stage,70.0,fixed_split,,,False,64.58552706552706,15.809116809116809,68.89999999999999,23.2,92.1,3-5-2,Bukayo Saka,Ollie Watkins
Weighted average,Weighted average | two_stage | actual_remainder | xi_cap=70,"Two-stage actual remainder, XI cap £70m",Two-stage,70.0,actual_remainder,,,False,64.58552706552706,15.809116809116809,68.89999999999999,23.2,92.1,3-5-2,Bukayo Saka,Ollie Watkins
Weighted average,Weighted average | two_stage | fixed_split | xi_cap=75,"Two-stage fixed allocation, XI cap £75m",Two-stage,75.0,fixed_split,,,False,65.36900284900284,15.401709401709402,72.7,23.9,96.6,3-5-2,Bukayo Saka,Ollie Watkins
Weighted average,Weighted average | two_stage | actual_remainder | xi_cap=75,"Two-stage actual remainder, XI cap £75m",Two-stage,75.0,actual_remainder,,,False,65.36900284900284,15.401709401709402,72.7,23.9,96.6,3-5-2,Bukayo Saka,Ollie Watkins
Weighted average,Weighted average | two_stage | fixed_split | xi_cap=80,"Two-stage fixed allocation, XI cap £80m",Two-stage,80.0,fixed_split,,,False,65.57982905982905,15.025641025641026,79.2,19.4,98.6,3-5-2,Bukayo Saka,Ollie Watkins
Weighted average,Weighted average | two_stage | actual_remainder | xi_cap=80,"Two-stage actual remainder, XI cap £80m",Two-stage,80.0,actual_remainder,,,False,65.57982905982905,15.025641025641026,79.2,19.4,98.6,3-5-2,Bukayo Saka,Ollie Watkins
Weighted average,Weighted average | two_stage | fixed_split | xi_cap=83.5,"Two-stage fixed allocation, XI cap £83.5m",Two-stage,83.5,fixed_split,,,False,65.60262108262108,10.88034188034188,80.2,16.5,96.7,3-5-2,Bukayo Saka,Ollie Watkins
Weighted average,Weighted average | two_stage | actual_remainder | xi_cap=83.5,"Two-stage actual remainder, XI cap £83.5m",Two-stage,83.5,actual_remainder,,,False,65.60262108262108,15.025641025641026,80.2,19.4,99.6,3-5-2,Bukayo Saka,Ollie Watkins
Weighted average,Weighted average | joint_pareto | delta=0.000,Joint Pareto δ=0.0%,Joint Pareto,,endogenous,0.0,True,False,65.60262108262108,15.025641025641026,80.2,19.4,99.6,3-5-2,Bukayo Saka,Ollie Watkins
