method,solution_id,delta,xi_score,bench_score,xi_loss_pct,xi_spend,bench_spend,total_spend,formation,is_nondominated,is_compromise
Simple average,Simple average | joint_pareto | delta=0.000,0.0,62.90769230769231,10.326923076923077,0.0,83.39999999999999,16.6,100.0,3-5-2,True,False
Simple average,Simple average | joint_pareto | delta=0.005,0.005,62.61230769230769,13.886153846153846,0.46955245781365373,81.5,18.4,99.9,3-5-2,True,False
Simple average,Simple average | joint_pareto | delta=0.010,0.01,62.298461538461545,14.186153846153847,0.9684519442406354,81.19999999999999,18.7,99.89999999999999,3-5-2,True,False
Simple average,Simple average | joint_pareto | delta=0.020,0.02,61.65692307692308,15.384615384615387,1.9882611885546568,78.7,21.1,99.80000000000001,3-5-2,True,True
Simple average,Simple average | joint_pareto | delta=0.050,0.05,59.77846153846154,17.312307692307694,4.9743213499633105,76.5,23.499999999999996,100.0,4-5-1,True,False
Simple average,Simple average | joint_pareto | delta=0.100,0.1,56.636923076923075,20.453846153846154,9.96820738566887,72.0,28.0,100.0,5-3-2,True,False
Weighted average,Weighted average | joint_pareto | delta=0.000,0.0,65.60262108262108,15.025641025641026,0.0,80.2,19.4,99.6,3-5-2,True,False
Weighted average,Weighted average | joint_pareto | delta=0.005,0.005,65.27498575498575,15.495726495726496,0.49942414224990356,74.9,21.7,96.60000000000001,3-5-2,True,False
Weighted average,Weighted average | joint_pareto | delta=0.010,0.01,64.96159544159543,15.809116809116809,0.9771341913584985,73.39999999999999,23.2,96.6,3-5-2,True,False
Weighted average,Weighted average | joint_pareto | delta=0.020,0.02,64.3205698005698,16.45014245014245,1.9542683827169753,71.39999999999999,25.199999999999996,96.6,3-5-2,True,False
Weighted average,Weighted average | joint_pareto | delta=0.050,0.05,62.3245584045584,18.446153846153848,4.996847113675889,72.4,24.2,96.60000000000001,3-4-3,True,True
Weighted average,Weighted average | joint_pareto | delta=0.100,0.1,59.05299145299145,21.717720797720794,9.983792600879342,70.7,25.900000000000002,96.60000000000001,5-4-1,True,False
"ARIMA(0,0,1)","ARIMA(0,0,1) | joint_pareto | delta=0.000",0.0,63.02194100646938,8.971304961797689,0.0,83.79999999999998,16.2,99.99999999999999,3-5-2,True,False
"ARIMA(0,0,1)","ARIMA(0,0,1) | joint_pareto | delta=0.005",0.005,62.75130687868228,10.595690489175253,0.4294284236014301,83.49999999999999,16.5,99.99999999999999,3-5-2,True,False
"ARIMA(0,0,1)","ARIMA(0,0,1) | joint_pareto | delta=0.010",0.01,62.40256428270682,13.861003287705959,0.9827953786745204,81.3,18.7,100.0,3-5-2,True,False
"ARIMA(0,0,1)","ARIMA(0,0,1) | joint_pareto | delta=0.020",0.02,61.855015151672035,15.064187675127883,1.8516183985471983,80.6,19.4,100.0,3-4-3,True,True
"ARIMA(0,0,1)","ARIMA(0,0,1) | joint_pareto | delta=0.050",0.05,59.871020845701125,17.048181981098793,4.999719320680408,77.8,22.2,100.0,4-4-2,True,False
"ARIMA(0,0,1)","ARIMA(0,0,1) | joint_pareto | delta=0.100",0.1,56.82035733042551,20.09884549637441,9.840356512356964,73.9,26.1,100.0,5-4-1,True,False
"ARIMA(1,0,0)","ARIMA(1,0,0) | joint_pareto | delta=0.000",0.0,63.57823741266316,10.438759735751036,0.0,83.69999999999999,16.299999999999997,99.99999999999999,3-5-2,True,False
"ARIMA(1,0,0)","ARIMA(1,0,0) | joint_pareto | delta=0.005",0.005,63.32948698670174,12.086707910862549,0.391250899811629,83.39999999999999,16.6,100.0,3-5-2,True,False
"ARIMA(1,0,0)","ARIMA(1,0,0) | joint_pareto | delta=0.010",0.01,62.95155398007206,14.642646853077036,0.9856885910874186,81.3,18.7,100.0,3-5-2,True,False
"ARIMA(1,0,0)","ARIMA(1,0,0) | joint_pareto | delta=0.020",0.02,62.309095908989306,15.414246300555272,1.9961885628195633,78.1,21.5,99.6,3-5-2,True,True
"ARIMA(1,0,0)","ARIMA(1,0,0) | joint_pareto | delta=0.050",0.05,60.408565508390495,17.340743242845857,4.985466778041481,76.7,23.1,99.80000000000001,4-3-3,True,False
"ARIMA(1,0,0)","ARIMA(1,0,0) | joint_pareto | delta=0.100",0.1,57.22761026290257,20.524070398758667,9.988680731334181,67.60000000000001,32.4,100.0,5-3-2,True,False
"ARIMA(1,0,1)","ARIMA(1,0,1) | joint_pareto | delta=0.000",0.0,64.72332019702876,13.039059224810567,0.0,82.89999999999999,17.0,99.89999999999999,3-5-2,True,False
"ARIMA(1,0,1)","ARIMA(1,0,1) | joint_pareto | delta=0.005",0.005,64.40409590550297,15.232444714627722,0.4932137142439729,80.7,19.3,100.0,3-5-2,True,False
"ARIMA(1,0,1)","ARIMA(1,0,1) | joint_pareto | delta=0.010",0.01,64.11106585875434,15.892961582496309,0.9459563205512407,78.49999999999999,21.5,99.99999999999999,3-5-2,True,False
"ARIMA(1,0,1)","ARIMA(1,0,1) | joint_pareto | delta=0.020",0.02,63.42922950713217,16.574797934118482,1.9994195074621537,77.6,22.4,100.0,3-5-2,True,False
"ARIMA(1,0,1)","ARIMA(1,0,1) | joint_pareto | delta=0.050",0.05,61.488049506382794,18.515977934867863,4.998616697655883,73.7,26.3,100.0,3-4-3,True,True
"ARIMA(1,0,1)","ARIMA(1,0,1) | joint_pareto | delta=0.100",0.1,58.296903530235625,21.707123911015028,9.929059027302724,67.80000000000001,32.2,100.00000000000001,5-3-2,True,False
