method,solution_id,name,team,position,value,forecast,role,is_captain,is_vice_captain
Simple average,Simple average | two_stage | fixed_split | xi_cap=55,Anthony Gordon,Newcastle,MID,6.1,4.653846153846154,XI,False,False
Simple average,Simple average | two_stage | fixed_split | xi_cap=55,Carlton Morris,Luton,FWD,5.0,4.04,XI,False,False
Simple average,Simple average | two_stage | fixed_split | xi_cap=55,Cole Palmer,Chelsea,MID,5.8,4.96,XI,False,True
Simple average,Simple average | two_stage | fixed_split | xi_cap=55,Conor Bradley,Liverpool,DEF,4.1,2.75,XI,False,False
Simple average,Simple average | two_stage | fixed_split | xi_cap=55,Declan Rice,Arsenal,MID,5.4,4.0,XI,False,False
Simple average,Simple average | two_stage | fixed_split | xi_cap=55,Douglas Luiz Soares de Paulo,Aston Villa,MID,5.5,5.0,XI,True,False
Simple average,Simple average | two_stage | fixed_split | xi_cap=55,Erling Haaland,Man City,FWD,14.4,5.615384615384615,Bench,False,False
Simple average,Simple average | two_stage | fixed_split | xi_cap=55,Gabriel dos Santos Magalhães,Arsenal,DEF,5.2,3.6923076923076925,XI,False,False
Simple average,Simple average | two_stage | fixed_split | xi_cap=55,Jarrad Branthwaite,Everton,DEF,4.2,2.923076923076923,XI,False,False
Simple average,Simple average | two_stage | fixed_split | xi_cap=55,Jordan Pickford,Everton,GK,4.6,3.730769230769231,Bench,False,False
Simple average,Simple average | two_stage | fixed_split | xi_cap=55,Kieran Trippier,Newcastle,DEF,6.9,4.115384615384615,Bench,False,False
Simple average,Simple average | two_stage | fixed_split | xi_cap=55,Ollie Watkins,Aston Villa,FWD,8.8,6.538461538461538,Bench,False,False
Simple average,Simple average | two_stage | fixed_split | xi_cap=55,Scott McTominay,Man Utd,MID,4.6,3.1923076923076925,XI,False,False
Simple average,Simple average | two_stage | fixed_split | xi_cap=55,Vitalii Mykolenko,Everton,DEF,4.6,3.1923076923076925,XI,False,False
Simple average,Simple average | two_stage | fixed_split | xi_cap=55,Đorđe Petrović,Chelsea,GK,4.5,3.8,XI,False,False
Simple average,Simple average | two_stage | actual_remainder | xi_cap=55,Anthony Gordon,Newcastle,MID,6.1,4.653846153846154,XI,False,False
Simple average,Simple average | two_stage | actual_remainder | xi_cap=55,Carlton Morris,Luton,FWD,5.0,4.04,XI,False,False
Simple average,Simple average | two_stage | actual_remainder | xi_cap=55,Cole Palmer,Chelsea,MID,5.8,4.96,XI,False,True
Simple average,Simple average | two_stage | actual_remainder | xi_cap=55,Conor Bradley,Liverpool,DEF,4.1,2.75,XI,False,False
Simple average,Simple average | two_stage | actual_remainder | xi_cap=55,Declan Rice,Arsenal,MID,5.4,4.0,XI,False,False
Simple average,Simple average | two_stage | actual_remainder | xi_cap=55,Douglas Luiz Soares de Paulo,Aston Villa,MID,5.5,5.0,XI,True,False
Simple average,Simple average | two_stage | actual_remainder | xi_cap=55,Erling Haaland,Man City,FWD,14.4,5.615384615384615,Bench,False,False
Simple average,Simple average | two_stage | actual_remainder | xi_cap=55,Gabriel dos Santos Magalhães,Arsenal,DEF,5.2,3.6923076923076925,XI,False,False
Simple average,Simple average | two_stage | actual_remainder | xi_cap=55,Jarrad Branthwaite,Everton,DEF,4.2,2.923076923076923,XI,False,False
Simple average,Simple average | two_stage | actual_remainder | xi_cap=55,Jordan Pickford,Everton,GK,4.6,3.730769230769231,Bench,False,False
Simple average,Simple average | two_stage | actual_remainder | xi_cap=55,Kieran Trippier,Newcastle,DEF,6.9,4.115384615384615,Bench,False,False
Simple average,Simple average | two_stage | actual_remainder | xi_cap=55,Ollie Watkins,Aston Villa,FWD,8.8,6.538461538461538,Bench,False,False
Simple average,Simple average | two_stage | actual_remainder | xi_cap=55,Scott McTominay,Man Utd,MID,4.6,3.1923076923076925,XI,False,False
Simple average,Simple average | two_stage | actual_remainder | xi_cap=55,Vitalii Mykolenko,Everton,DEF,4.6,3.1923076923076925,XI,False,False
Simple average,Simple average | two_stage | actual_remainder | xi_cap=55,Đorđe Petrović,Chelsea,GK,4.5,3.8,XI,False,False
Simple average,Simple average | two_stage | fixed_split | xi_cap=60,Anthony Gordon,Newcastle,MID,6.1,4.653846153846154,XI,False,False
Simple average,Simple average | two_stage | fixed_split | xi_cap=60,Bukayo Saka,Arsenal,MID,9.1,6.5,Bench,False,False
Simple average,Simple average | two_stage | fixed_split | xi_cap=60,Carlton Morris,Luton,FWD,5.0,4.04,XI,False,False
Simple average,Simple average | two_stage | fixed_split | xi_cap=60,Cole Palmer,Chelsea,MID,5.8,4.96,XI,False,False
Simple average,Simple average | two_stage | fixed_split | xi_cap=60,Conor Bradley,Liverpool,DEF,4.1,2.75,XI,False,False
Simple average,Simple average | two_stage | fixed_split | xi_cap=60,Declan Rice,Arsenal,MID,5.4,4.0,XI,False,False
Simple average,Simple average | two_stage | fixed_split | xi_cap=60,Douglas Luiz Soares de Paulo,Aston Villa,MID,5.5,5.0,XI,False,True
Simple average,Simple average | two_stage | fixed_split | xi_cap=60,James Tarkowski,Everton,DEF,4.6,3.1538461538461537,XI,False,False
Simple average,Simple average | two_stage | fixed_split | xi_cap=60,Jordan Pickford,Everton,GK,4.6,3.730769230769231,Bench,False,False
Simple average,Simple average | two_stage | fixed_split | xi_cap=60,Kieran Trippier,Newcastle,DEF,6.9,4.115384615384615,Bench,False,False
Simple average,Simple average | two_stage | fixed_split | xi_cap=60,Matheus Santos Carneiro Da Cunha,Wolves,FWD,5.6,4.153846153846154,XI,False,False
Simple average,Simple average | two_stage | fixed_split | xi_cap=60,Ollie Watkins,Aston Villa,FWD,8.8,6.538461538461538,XI,True,False
