method,solution_id,policy,realized_points,mean_weekly_points,total_autosubs,substitute_points,total_planned_absences,design,design_family,xi_cap,bench_budget_rule,delta,is_nondominated,is_compromise,xi_score,bench_score,xi_spend,bench_spend,total_spend,formation,captain,vice_captain
"ARIMA(0,0,1)","ARIMA(0,0,1) | joint_pareto | delta=0.000",sequential,765.0,63.75,14,47.0,26,Joint Pareto δ=0.0%,Joint Pareto,,endogenous,0.0,True,False,63.02194100646938,8.971304961797689,83.79999999999998,16.2,99.99999999999999,3-5-2,Bukayo Saka,Ollie Watkins
"ARIMA(0,0,1)","ARIMA(0,0,1) | joint_pareto | delta=0.000",static,765.0,63.75,14,47.0,26,Joint Pareto δ=0.0%,Joint Pareto,,endogenous,0.0,True,False,63.02194100646938,8.971304961797689,83.79999999999998,16.2,99.99999999999999,3-5-2,Bukayo Saka,Ollie Watkins
"ARIMA(0,0,1)","ARIMA(0,0,1) | joint_pareto | delta=0.005",sequential,665.0,55.416666666666664,16,53.0,27,Joint Pareto δ=0.5%,Joint Pareto,,endogenous,0.005,True,False,62.75130687868228,10.595690489175253,83.49999999999999,16.5,99.99999999999999,3-5-2,Bukayo Saka,Ollie Watkins
"ARIMA(0,0,1)","ARIMA(0,0,1) | joint_pareto | delta=0.005",static,666.0,55.5,15,50.0,26,Joint Pareto δ=0.5%,Joint Pareto,,endogenous,0.005,True,False,62.75130687868228,10.595690489175253,83.49999999999999,16.5,99.99999999999999,3-5-2,Bukayo Saka,Ollie Watkins
"ARIMA(0,0,1)","ARIMA(0,0,1) | joint_pareto | delta=0.010",sequential,790.0,65.83333333333333,11,60.0,18,Joint Pareto δ=1.0%,Joint Pareto,,endogenous,0.01,True,False,62.40256428270682,13.861003287705959,81.3,18.7,100.0,3-5-2,Bukayo Saka,Ollie Watkins
"ARIMA(0,0,1)","ARIMA(0,0,1) | joint_pareto | delta=0.010",static,775.0,64.58333333333333,11,50.0,18,Joint Pareto δ=1.0%,Joint Pareto,,endogenous,0.01,True,False,62.40256428270682,13.861003287705959,81.3,18.7,100.0,3-5-2,Bukayo Saka,Ollie Watkins
"ARIMA(0,0,1)","ARIMA(0,0,1) | joint_pareto | delta=0.020",sequential,714.0,59.5,17,38.0,25,Joint Pareto δ=2.0%,Joint Pareto,,endogenous,0.02,True,True,61.855015151672035,15.064187675127883,80.6,19.4,100.0,3-4-3,Bukayo Saka,Ollie Watkins
"ARIMA(0,0,1)","ARIMA(0,0,1) | joint_pareto | delta=0.020",static,694.0,57.833333333333336,20,115.0,28,Joint Pareto δ=2.0%,Joint Pareto,,endogenous,0.02,True,True,61.855015151672035,15.064187675127883,80.6,19.4,100.0,3-4-3,Bukayo Saka,Ollie Watkins
"ARIMA(0,0,1)","ARIMA(0,0,1) | joint_pareto | delta=0.050",sequential,714.0,59.5,17,38.0,25,Joint Pareto δ=5.0%,Joint Pareto,,endogenous,0.05,True,False,59.871020845701125,17.048181981098793,77.8,22.2,100.0,4-4-2,Bukayo Saka,Ollie Watkins
"ARIMA(0,0,1)","ARIMA(0,0,1) | joint_pareto | delta=0.050",static,684.0,57.0,18,142.0,26,Joint Pareto δ=5.0%,Joint Pareto,,endogenous,0.05,True,False,59.871020845701125,17.048181981098793,77.8,22.2,100.0,4-4-2,Bukayo Saka,Ollie Watkins
"ARIMA(0,0,1)","ARIMA(0,0,1) | joint_pareto | delta=0.100",sequential,717.0,59.75,17,38.0,25,Joint Pareto δ=10.0%,Joint Pareto,,endogenous,0.1,True,False,56.82035733042551,20.09884549637441,73.9,26.1,100.0,5-4-1,Bukayo Saka,Mohamed Salah
"ARIMA(0,0,1)","ARIMA(0,0,1) | joint_pareto | delta=0.100",static,663.0,55.25,20,136.0,28,Joint Pareto δ=10.0%,Joint Pareto,,endogenous,0.1,True,False,56.82035733042551,20.09884549637441,73.9,26.1,100.0,5-4-1,Bukayo Saka,Mohamed Salah
"ARIMA(0,0,1)","ARIMA(0,0,1) | two_stage | actual_remainder | xi_cap=55",sequential,683.0,56.916666666666664,16,21.0,27,"Two-stage actual remainder, XI cap £55m",Two-stage,55.0,actual_remainder,,,False,47.51680128036821,18.16968421209245,55.0,26.499999999999996,81.5,3-4-3,Cole Palmer,Anthony Gordon
"ARIMA(0,0,1)","ARIMA(0,0,1) | two_stage | actual_remainder | xi_cap=55",static,679.0,56.583333333333336,14,77.0,25,"Two-stage actual remainder, XI cap £55m",Two-stage,55.0,actual_remainder,,,False,47.51680128036821,18.16968421209245,55.0,26.499999999999996,81.5,3-4-3,Cole Palmer,Anthony Gordon
"ARIMA(0,0,1)","ARIMA(0,0,1) | two_stage | actual_remainder | xi_cap=60",sequential,702.0,58.5,16,60.0,24,"Two-stage actual remainder, XI cap £60m",Two-stage,60.0,actual_remainder,,,False,52.99427170538875,18.16968421209245,60.0,26.499999999999996,86.5,3-4-3,Ollie Watkins,Cole Palmer
