method,availability_design,name,team,position,value,raw_forecast,starting_probability,adjusted_cost,role,is_captain,is_vice_captain
Simple average,Unadjusted joint $\delta=0$,Alphonse Areola,West Ham,GK,4.2,3.3076923076923075,0.8571428571428571,3.3076923076923075,Bench,False,False
Simple average,Unadjusted joint $\delta=0$,Bukayo Saka,Arsenal,MID,9.1,6.5,0.9285714285714286,6.5,XI,False,True
Simple average,Unadjusted joint $\delta=0$,Cameron Archer,Sheffield Utd,FWD,4.3,2.5384615384615383,0.6071428571428571,2.5384615384615383,Bench,False,False
Simple average,Unadjusted joint $\delta=0$,Conor Bradley,Liverpool,DEF,4.1,2.75,0.14285714285714285,2.75,Bench,False,False
Simple average,Unadjusted joint $\delta=0$,Dominic Solanke,Bournemouth,FWD,7.0,5.12,0.9285714285714286,5.12,XI,False,False
Simple average,Unadjusted joint $\delta=0$,Douglas Luiz Soares de Paulo,Aston Villa,MID,5.5,5.0,0.9285714285714286,5.0,XI,False,False
Simple average,Unadjusted joint $\delta=0$,Gabriel dos Santos Magalhães,Arsenal,DEF,5.2,3.6923076923076925,0.8214285714285714,3.6923076923076925,XI,False,False
Simple average,Unadjusted joint $\delta=0$,Jamaal Lascelles,Newcastle,DEF,4.0,1.7307692307692308,0.4642857142857143,1.7307692307692308,Bench,False,False
Simple average,Unadjusted joint $\delta=0$,Kieran Trippier,Newcastle,DEF,6.9,4.115384615384615,0.8928571428571429,4.115384615384615,XI,False,False
Simple average,Unadjusted joint $\delta=0$,Mohamed Salah,Liverpool,MID,13.0,6.423076923076923,0.75,6.423076923076923,XI,False,False
Simple average,Unadjusted joint $\delta=0$,Ollie Watkins,Aston Villa,FWD,8.8,6.538461538461538,0.9642857142857143,6.538461538461538,XI,True,False
Simple average,Unadjusted joint $\delta=0$,Phil Foden,Man City,MID,8.1,5.5,0.8571428571428571,5.5,XI,False,False
Simple average,Unadjusted joint $\delta=0$,Son Heung-min,Spurs,MID,9.6,5.68,0.7857142857142857,5.68,XI,False,False
Simple average,Unadjusted joint $\delta=0$,William Saliba,Arsenal,DEF,5.7,4.0,0.9642857142857143,4.0,XI,False,False
Simple average,Unadjusted joint $\delta=0$,Đorđe Petrović,Chelsea,GK,4.5,3.8,0.21428571428571427,3.8,XI,False,False
