relative_path,size_bytes,sha256
README.md,1841,f754babbb381517ed2346226b1152dfb8e077eff2fc5dd0240992bfb2f84a1bb
RUN_COMPLETED_SUCCESSFULLY.txt,68,ebb7dc2dc3d692d53fdc81d1241aa927543a3c0a661e03e8b5bd86195bb456d1
analysis_outputs/feature_regularization/reviewer1_comment1_regularization_policy_audit.csv,508,34a6104ba57bf5e33aa3a347193cb68a39f1bdd6157b5f2105448126e707fbee
analysis_outputs/feature_regularization/reviewer1_comment3_cost_vector_stability.csv,982,cd468e73ff3e2261b9cd53fca858b10932c5bbb68f75f06616b2ffd3d36b4365
analysis_outputs/feature_regularization/reviewer1_comment3_feature_correlations.csv,1053,8c2589ce99f4f33744dc0e66fe1bc68fb371e79cd758edc238b0fa46bfdaef56
analysis_outputs/feature_regularization/reviewer1_comment3_player_cost_stability.csv,373672,9734eb11018071a4f54bc47b889df8ad72e9b7b87b1a4683b5ae4d0d8ab2a997
analysis_outputs/feature_regularization/reviewer1_comment3_redundancy_audit.csv,167,6f06c1d254845d8ff13a1ef78e18aa6a46bda7ac1d0fce7f1eccac2722724206
analysis_outputs/feature_regularization/reviewer1_comment4_lasso_feature_selection.csv,2170,8dddafc2bbbd464635a2f82ce0eda89c0d45ab1231e7b10fe035a1a34c5271c0
analysis_outputs/feature_regularization/reviewer1_comments3_4_alpha_tuning.csv,32473,830a555a713d22f1e384ed20b160bb163c961efadb7ea244f955baece131abae
analysis_outputs/feature_regularization/reviewer1_comments3_4_bootstrap_coefficients.csv,2918055,69dc95f2920b93053bd87d78e66c49a860d6f765fa7341ad9f5dbd282c1ff123
analysis_outputs/feature_regularization/reviewer1_comments3_4_bootstrap_diagnostics.csv,190162,7d7b1662a12bd2e8936163f107bc207ce3cfa4b9d2cfa5247ab84b7b02737c86
analysis_outputs/feature_regularization/reviewer1_comments3_4_coefficient_stability.csv,7786,63edb8dc33a0b376b9dd6785b86da8429b8b6fad9fde61a967fc277cbfd37908
analysis_outputs/feature_regularization/reviewer1_comments3_4_cost_vectors.csv,721465,2a12324fc6b4af3726a20a65482b0a394fa515194b454a75e1142b4b1f33ea5e
analysis_outputs/feature_regularization/reviewer1_comments3_4_main_comparison.csv,1641,ae3e1b83785330b9ecc3c52c2aeb1b4ff296efa7a52f3b9b2908debdb3a0cd8a
analysis_outputs/feature_regularization/reviewer1_comments3_4_predictive_metrics.csv,340,52d40d5671510636d5e8192a67a08f8014509d2c198526ca9f52d2779681cc30
