series,policy,GW,weekly_points,base_points,captain_bonus,captain_used,autosubs_used,substitute_points,cumulative_points
Simple Avg.,static,27,84.0,71.0,13.0,Ollie Watkins,1,8.0,84.0
Simple Avg.,static,28,41.0,39.0,2.0,Ollie Watkins,1,2.0,125.0
Simple Avg.,static,29,10.0,8.0,2.0,Ollie Watkins,1,3.0,135.0
Simple Avg.,static,30,54.0,53.0,1.0,Ollie Watkins,1,4.0,189.0
Simple Avg.,static,31,40.0,40.0,0.0,,1,0.0,229.0
Simple Avg.,static,32,70.0,57.0,13.0,Ollie Watkins,2,5.0,299.0
Simple Avg.,static,33,35.0,28.0,7.0,Ollie Watkins,2,2.0,334.0
Simple Avg.,static,34,85.0,76.0,9.0,Ollie Watkins,1,3.0,419.0
Simple Avg.,static,35,44.0,42.0,2.0,Ollie Watkins,1,2.0,463.0
Simple Avg.,static,36,62.0,60.0,2.0,Ollie Watkins,0,0.0,525.0
Simple Avg.,static,37,58.0,53.0,5.0,Ollie Watkins,0,0.0,583.0
Simple Avg.,static,38,42.0,40.0,2.0,Ollie Watkins,1,1.0,625.0
Weighted Avg.,static,27,76.0,69.0,7.0,Bukayo Saka,1,8.0,76.0
Weighted Avg.,static,28,46.0,44.0,2.0,Bukayo Saka,0,0.0,122.0
Weighted Avg.,static,29,7.0,5.0,2.0,Ollie Watkins,1,3.0,129.0
Weighted Avg.,static,30,56.0,53.0,3.0,Bukayo Saka,0,0.0,185.0
Weighted Avg.,static,31,64.0,64.0,0.0,,1,0.0,249.0
Weighted Avg.,static,32,71.0,61.0,10.0,Bukayo Saka,1,1.0,320.0
Weighted Avg.,static,33,53.0,51.0,2.0,Bukayo Saka,1,1.0,373.0
Weighted Avg.,static,34,105.0,96.0,9.0,Bukayo Saka,1,3.0,478.0
Weighted Avg.,static,35,54.0,42.0,12.0,Bukayo Saka,1,2.0,532.0
Weighted Avg.,static,36,69.0,59.0,10.0,Bukayo Saka,0,0.0,601.0
Weighted Avg.,static,37,71.0,69.0,2.0,Bukayo Saka,0,0.0,672.0
Weighted Avg.,static,38,45.0,43.0,2.0,Ollie Watkins,1,1.0,717.0
Simulation (Non Parametric),static,27,84.0,71.0,13.0,Ollie Watkins,1,8.0,84.0
Simulation (Non Parametric),static,28,41.0,39.0,2.0,Ollie Watkins,1,2.0,125.0
Simulation (Non Parametric),static,29,10.0,8.0,2.0,Ollie Watkins,1,3.0,135.0
Simulation (Non Parametric),static,30,54.0,53.0,1.0,Ollie Watkins,1,4.0,189.0
