model,position,feature,feature_label,coefficient_mean,coefficient_sd,selection_frequency,sign_consistency
Full LASSO,DEF,expected_assists,xA,0.0,0.0,0.0,1.0
Full LASSO,DEF,expected_goal_involvements,xGI,0.0,0.0,0.0,1.0
Full LASSO,DEF,expected_goals,xG,0.0,0.0,0.0,1.0
Full LASSO,DEF,expected_goals_conceded,xGC,0.0,0.0,0.0,1.0
Full LASSO,DEF,ict_index,ICT,0.24874919665006467,0.07738160795201651,1.0,1.0
Full LASSO,DEF,selected,Selected,0.0,0.0,0.0,1.0
Full LASSO,DEF,starts,Starts,0.2718365108108458,0.0737455052337311,1.0,1.0
Full LASSO,FWD,expected_assists,xA,0.0009481674498841949,0.006585137895702518,0.038,0.038
Full LASSO,FWD,expected_goal_involvements,xGI,0.0032809107040130373,0.021137187921018503,0.04,0.04
Full LASSO,FWD,expected_goals,xG,0.0,0.0,0.0,1.0
Full LASSO,FWD,expected_goals_conceded,xGC,0.11197783218041792,0.10867440801753164,0.764,0.764
Full LASSO,FWD,ict_index,ICT,0.5801227517919928,0.11483161331384342,1.0,1.0
Full LASSO,FWD,selected,Selected,0.02733740911661085,0.05669435866002225,0.32,0.32
Full LASSO,FWD,starts,Starts,0.1930680921471784,0.14953830428634116,0.842,0.842
Full LASSO,GK,expected_assists,xA,0.0,0.0,0.0,1.0
Full LASSO,GK,expected_goal_involvements,xGI,0.0,0.0,0.0,1.0
Full LASSO,GK,expected_goals,xG,0.0,0.0,0.0,1.0
Full LASSO,GK,expected_goals_conceded,xGC,0.0010889660321898495,0.01811111799968777,0.006,0.006
Full LASSO,GK,ict_index,ICT,0.0018490322047568346,0.016399116927769294,0.024,0.024
Full LASSO,GK,selected,Selected,0.0,0.0,0.0,1.0
Full LASSO,GK,starts,Starts,0.721309451665576,0.1007292426587357,1.0,1.0
Full LASSO,MID,expected_assists,xA,0.021342812913460487,0.03715803214978644,0.376,0.376
Full LASSO,MID,expected_goal_involvements,xGI,0.10402584149633594,0.09300110292896228,0.798,0.798
Full LASSO,MID,expected_goals,xG,0.00043501403128660667,0.0054238038387753595,0.01,0.01
Full LASSO,MID,expected_goals_conceded,xGC,0.08084736576123795,0.0674354081230296,0.822,0.822
Full LASSO,MID,ict_index,ICT,0.6689149163111419,0.1118622779587733,1.0,1.0
Full LASSO,MID,selected,Selected,0.007760060816550649,0.018141348849476425,0.248,0.248
Full LASSO,MID,starts,Starts,0.26921325486966946,0.09378913728535289,0.994,0.994
