GW,Simple Avg.,Weighted Avg.,Simulation (Non Parametric),Monte Carlo Simulation,Exponential Smoothing,Robust Simple Avg.,Robust Weighted Avg.,Robust Exponential Smoothing,"ARIMA (0,0,1)","ARIMA (1,0,0)","ARIMA (0,1,1)","ARIMA (1,0,1)","ARIMA (1,1,0)","ARIMA (1,1,1)","ARIMA (2,1,1)","ARIMA (1,1,2)","ARIMA (2,1,2)",ICT Score,Robust ICT Score,Involvement,Linear Regression,Hybrid Simple Avg. 1:2 (Higher Total Points),Hybrid Simple Avg. 2:1 (Lower Total Points),Hybrid Weighted 1:2 (Higher Total Points),Hybrid Weighted 2:1 (Lower Total Points),Hybrid Exponential Smoothing 1:2 (Higher Total Points),Hybrid Exponential Smoothing 2:1 (Lower Total Points),Hybrid Simulation (Non Parametric) 1:2 (Higher Total Points),Hybrid Simulation (Non Parametric) 2:1 (Lower Total Points),Hybrid Monte Carlo 1:2 (Higher Total Points),Hybrid Monte Carlo 2:1 (Lower Total Points),Hybrid ARIMA 1:2 (Higher Total Points),Hybrid ARIMA 2:1 (Lower Total Points),Hybrid ICT Score 1:2 (Higher Total Points),Hybrid ICT Score 2:1 (Lower Total Points),Hybrid Linear Regression 1:2 (Higher Total Points),Hybrid Linear Regression 2:1 (Lower Total Points),Simple Avg. (Budget = 55),Simple Avg. (Budget = 60),Simple Avg. (Budget = 65),Simple Avg. (Budget = 70),Simple Avg. (Budget = 75),Simple Avg. (Budget = 80),Weighted Avg. (Budget = 60),Monte Carlo (Budget = 60),"ARIMA (1,0,0, Budget = 60)","ARIMA (1,0,1, Budget = 60)",Weighted Avg. (Budget = 65),Monte Carlo (Budget = 65),"ARIMA (1,0,0, Budget = 65)","ARIMA (1,0,1, Budget = 65)",Weighted Avg. (Budget = 70),Monte Carlo (Budget = 70),"ARIMA (1,0,0, Budget = 70)","ARIMA (1,0,1, Budget = 70)",Weighted Avg. (Budget = 75),Monte Carlo (Budget = 75),"ARIMA (1,0,0, Budget = 75)","ARIMA (1,0,1, Budget = 75)",Weighted Avg. (Budget = 80),Monte Carlo (Budget = 80),"ARIMA (1,0,0, Budget = 80)","ARIMA (1,0,1, Budget = 80)","ARIMA (0,0,1, Budget = 65)",Hybrid ICT Score (Budget = 65),"ARIMA (0,0,1, Budget = 70)",Hybrid ICT Score (Budget = 70),"ARIMA (0,0,1, Budget = 75)",Hybrid ICT Score (Budget = 75),"ARIMA (0,0,1, Budget = 80)",Hybrid ICT Score (Budget = 80),ICT Score (Budget = 70),ICT Score (Budget = 75),ICT Score (Budget = 80)
27,84.0,76.0,84.0,84.0,31.0,71.0,79.0,39.0,76.0,71.0,61.0,78.0,55.0,54.0,66.0,57.0,54.0,75.0,72.0,56.0,58.0,80.0,80.0,76.0,63.0,52.0,68.0,80.0,80.0,80.0,75.0,76.0,74.0,73.0,73.0,56.0,58.0,57.0,78.0,69.0,72.0,79.0,82.0,53.0,76.0,73.0,67.0,58.0,69.0,67.0,69.0,69.0,72.0,76.0,76.0,72.0,79.0,76.0,63.0,72.0,78.0,71.0,70.0,67.0,79.0,77.0,62.0,74.0,75.0,70.0,73.0,56.0,70.0,73.0
28,125.0,122.0,125.0,125.0,67.0,104.0,121.0,66.0,120.0,112.0,97.0,136.0,91.0,89.0,108.0,99.0,99.0,127.0,110.0,82.0,102.0,109.0,109.0,122.0,108.0,93.0,92.0,109.0,109.0,109.0,110.0,120.0,103.0,101.0,101.0,107.0,110.0,95.0,117.0,100.0,108.0,116.0,124.0,95.0,114.0,105.0,106.0,104.0,113.0,104.0,108.0,115.0,108.0,113.0,118.0,119.0,116.0,134.0,110.0,112.0,114.0,124.0,133.0,102.0,123.0,109.0,109.0,135.0,108.0,110.0,112.0,116.0,119.0,124.0
29,135.0,129.0,135.0,135.0,68.0,125.0,138.0,81.0,130.0,122.0,103.0,146.0,105.0,92.0,125.0,112.0,114.0,134.0,126.0,87.0,105.0,120.0,120.0,129.0,115.0,96.0,95.0,120.0,120.0,120.0,122.0,128.0,112.0,107.0,107.0,121.0,126.0,101.0,124.0,107.0,115.0,123.0,132.0,104.0,122.0,112.0,112.0,111.0,120.0,111.0,116.0,120.0,115.0,121.0,124.0,124.0,123.0,145.0,116.0,117.0,119.0,132.0,140.0,111.0,131.0,116.0,114.0,146.0,115.0,120.0,117.0,120.0,123.0,128.0
30,189.0,185.0,189.0,189.0,114.0,155.0,171.0,132.0,186.0,176.0,144.0,207.0,133.0,128.0,160.0,144.0,142.0,167.0,153.0,109.0,147.0,173.0,173.0,185.0,165.0,145.0,137.0,173.0,173.0,173.0,171.0,184.0,167.0,159.0,159.0,163.0,167.0,150.0,173.0,157.0,178.0,181.0,189.0,147.0,171.0,164.0,159.0,160.0,173.0,168.0,169.0,169.0,178.0,181.0,173.0,176.0,181.0,212.0,174.0,175.0,178.0,192.0,200.0,163.0,185.0,174.0,165.0,213.0,160.0,177.0,173.0,166.0,157.0,163.0
31,229.0,249.0,230.0,229.0,157.0,185.0,214.0,159.0,228.0,216.0,178.0,255.0,164.0,163.0,190.0,168.0,178.0,234.0,221.0,121.0,208.0,220.0,220.0,249.0,224.0,188.0,179.0,220.0,221.0,220.0,214.0,227.0,215.0,209.0,209.0,242.0,245.0,187.0,210.0,194.0,224.0,247.0,253.0,209.0,210.0,218.0,219.0,201.0,219.0,203.0,205.0,229.0,224.0,242.0,226.0,243.0,247.0,281.0,217.0,240.0,240.0,251.0,258.0,207.0,233.0,237.0,232.0,284.0,210.0,242.0,236.0,261.0,242.0,242.0
32,299.0,320.0,300.0,299.0,185.0,261.0,284.0,194.0,301.0,283.0,240.0,326.0,214.0,215.0,236.0,216.0,228.0,301.0,279.0,171.0,261.0,290.0,290.0,320.0,299.0,232.0,223.0,290.0,291.0,290.0,289.0,300.0,282.0,284.0,284.0,279.0,276.0,244.0,272.0,268.0,293.0,315.0,337.0,275.0,283.0,279.0,277.0,268.0,287.0,258.0,271.0,293.0,293.0,318.0,292.0,306.0,315.0,346.0,288.0,309.0,315.0,323.0,325.0,275.0,296.0,306.0,299.0,355.0,266.0,316.0,313.0,334.0,311.0,318.0
33,334.0,373.0,335.0,334.0,235.0,296.0,317.0,223.0,325.0,313.0,268.0,381.0,251.0,248.0,270.0,255.0,262.0,342.0,336.0,195.0,313.0,323.0,323.0,373.0,350.0,289.0,251.0,323.0,324.0,323.0,322.0,324.0,310.0,316.0,316.0,331.0,331.0,339.0,351.0,348.0,371.0,376.0,396.0,324.0,361.0,356.0,356.0,333.0,364.0,341.0,343.0,354.0,371.0,397.0,370.0,369.0,376.0,404.0,366.0,369.0,378.0,382.0,399.0,354.0,376.0,375.0,367.0,407.0,312.0,377.0,377.0,390.0,351.0,369.0
34,419.0,478.0,420.0,419.0,287.0,356.0,415.0,281.0,432.0,404.0,345.0,452.0,319.0,330.0,349.0,331.0,341.0,441.0,441.0,246.0,426.0,427.0,427.0,478.0,468.0,347.0,337.0,427.0,428.0,427.0,414.0,431.0,414.0,446.0,446.0,423.0,406.0,404.0,428.0,434.0,458.0,478.0,487.0,426.0,438.0,414.0,403.0,449.0,449.0,406.0,396.0,473.0,458.0,481.0,434.0,478.0,478.0,487.0,433.0,489.0,473.0,468.0,474.0,440.0,473.0,485.0,483.0,506.0,415.0,490.0,495.0,485.0,460.0,509.0
35,463.0,532.0,464.0,463.0,328.0,403.0,471.0,323.0,487.0,460.0,395.0,516.0,372.0,374.0,401.0,372.0,387.0,485.0,496.0,301.0,478.0,476.0,476.0,532.0,526.0,388.0,371.0,476.0,477.0,476.0,464.0,486.0,473.0,498.0,498.0,474.0,449.0,458.0,486.0,500.0,522.0,534.0,537.0,489.0,493.0,490.0,473.0,510.0,497.0,473.0,465.0,535.0,522.0,548.0,501.0,535.0,534.0,561.0,496.0,545.0,516.0,531.0,540.0,510.0,513.0,547.0,527.0,579.0,468.0,543.0,546.0,541.0,513.0,564.0
36,525.0,601.0,526.0,525.0,405.0,454.0,522.0,386.0,565.0,541.0,456.0,590.0,442.0,457.0,471.0,442.0,454.0,537.0,572.0,369.0,557.0,533.0,533.0,601.0,589.0,467.0,447.0,533.0,534.0,533.0,514.0,564.0,538.0,560.0,560.0,555.0,530.0,533.0,538.0,551.0,575.0,586.0,600.0,541.0,547.0,559.0,538.0,564.0,542.0,537.0,534.0,592.0,575.0,623.0,573.0,593.0,586.0,628.0,568.0,614.0,579.0,610.0,623.0,567.0,557.0,610.0,582.0,643.0,515.0,610.0,611.0,597.0,561.0,612.0
