model,policy,GW,weekly_points,base_points,captain_bonus,captain_used,planned_absences,autosubs_used,substitute_points,squad_members,planned_xi_members,bench_order,captain,vice_captain,cumulative_points
Full Ridge,static,27,70.0,63.0,7.0,Bukayo Saka,0,0,0.0,Alfie Doughty|Bukayo Saka|Caoimhin Kelleher|Chris Richards|Ederson Santana de Moraes|Erling Haaland|Jakub Kiwior|Jarrod Bowen|Lewis Dunk|Luis Díaz|Ollie Watkins|Pascal Groß|Phil Foden|Rodrigo Muniz Carvalho|Virgil van Dijk,Alfie Doughty|Bukayo Saka|Ederson Santana de Moraes|Erling Haaland|Jarrod Bowen|Lewis Dunk|Luis Díaz|Ollie Watkins|Pascal Groß|Phil Foden|Virgil van Dijk,Rodrigo Muniz Carvalho|Jakub Kiwior|Chris Richards|Caoimhin Kelleher,Bukayo Saka,Phil Foden,70.0
Full Ridge,static,28,36.0,34.0,2.0,Bukayo Saka,0,0,0.0,Alfie Doughty|Bukayo Saka|Caoimhin Kelleher|Chris Richards|Ederson Santana de Moraes|Erling Haaland|Jakub Kiwior|Jarrod Bowen|Lewis Dunk|Luis Díaz|Ollie Watkins|Pascal Groß|Phil Foden|Rodrigo Muniz Carvalho|Virgil van Dijk,Alfie Doughty|Bukayo Saka|Ederson Santana de Moraes|Erling Haaland|Jarrod Bowen|Lewis Dunk|Luis Díaz|Ollie Watkins|Pascal Groß|Phil Foden|Virgil van Dijk,Rodrigo Muniz Carvalho|Jakub Kiwior|Chris Richards|Caoimhin Kelleher,Bukayo Saka,Phil Foden,106.0
Full Ridge,static,29,18.0,18.0,0.0,,8,1,13.0,Alfie Doughty|Bukayo Saka|Caoimhin Kelleher|Chris Richards|Ederson Santana de Moraes|Erling Haaland|Jakub Kiwior|Jarrod Bowen|Lewis Dunk|Luis Díaz|Ollie Watkins|Pascal Groß|Phil Foden|Rodrigo Muniz Carvalho|Virgil van Dijk,Alfie Doughty|Bukayo Saka|Ederson Santana de Moraes|Erling Haaland|Jarrod Bowen|Lewis Dunk|Luis Díaz|Ollie Watkins|Pascal Groß|Phil Foden|Virgil van Dijk,Rodrigo Muniz Carvalho|Jakub Kiwior|Chris Richards|Caoimhin Kelleher,Bukayo Saka,Phil Foden,124.0
Full Ridge,static,30,39.0,36.0,3.0,Bukayo Saka,1,1,2.0,Alfie Doughty|Bukayo Saka|Caoimhin Kelleher|Chris Richards|Ederson Santana de Moraes|Erling Haaland|Jakub Kiwior|Jarrod Bowen|Lewis Dunk|Luis Díaz|Ollie Watkins|Pascal Groß|Phil Foden|Rodrigo Muniz Carvalho|Virgil van Dijk,Alfie Doughty|Bukayo Saka|Ederson Santana de Moraes|Erling Haaland|Jarrod Bowen|Lewis Dunk|Luis Díaz|Ollie Watkins|Pascal Groß|Phil Foden|Virgil van Dijk,Rodrigo Muniz Carvalho|Jakub Kiwior|Chris Richards|Caoimhin Kelleher,Bukayo Saka,Phil Foden,163.0
Full Ridge,static,31,69.0,49.0,20.0,Phil Foden,4,2,5.0,Alfie Doughty|Bukayo Saka|Caoimhin Kelleher|Chris Richards|Ederson Santana de Moraes|Erling Haaland|Jakub Kiwior|Jarrod Bowen|Lewis Dunk|Luis Díaz|Ollie Watkins|Pascal Groß|Phil Foden|Rodrigo Muniz Carvalho|Virgil van Dijk,Alfie Doughty|Bukayo Saka|Ederson Santana de Moraes|Erling Haaland|Jarrod Bowen|Lewis Dunk|Luis Díaz|Ollie Watkins|Pascal Groß|Phil Foden|Virgil van Dijk,Rodrigo Muniz Carvalho|Jakub Kiwior|Chris Richards|Caoimhin Kelleher,Bukayo Saka,Phil Foden,232.0
Full Ridge,static,32,59.0,49.0,10.0,Bukayo Saka,2,2,4.0,Alfie Doughty|Bukayo Saka|Caoimhin Kelleher|Chris Richards|Ederson Santana de Moraes|Erling Haaland|Jakub Kiwior|Jarrod Bowen|Lewis Dunk|Luis Díaz|Ollie Watkins|Pascal Groß|Phil Foden|Rodrigo Muniz Carvalho|Virgil van Dijk,Alfie Doughty|Bukayo Saka|Ederson Santana de Moraes|Erling Haaland|Jarrod Bowen|Lewis Dunk|Luis Díaz|Ollie Watkins|Pascal Groß|Phil Foden|Virgil van Dijk,Rodrigo Muniz Carvalho|Jakub Kiwior|Chris Richards|Caoimhin Kelleher,Bukayo Saka,Phil Foden,291.0
Full Ridge,static,33,35.0,33.0,2.0,Bukayo Saka,2,1,2.0,Alfie Doughty|Bukayo Saka|Caoimhin Kelleher|Chris Richards|Ederson Santana de Moraes|Erling Haaland|Jakub Kiwior|Jarrod Bowen|Lewis Dunk|Luis Díaz|Ollie Watkins|Pascal Groß|Phil Foden|Rodrigo Muniz Carvalho|Virgil van Dijk,Alfie Doughty|Bukayo Saka|Ederson Santana de Moraes|Erling Haaland|Jarrod Bowen|Lewis Dunk|Luis Díaz|Ollie Watkins|Pascal Groß|Phil Foden|Virgil van Dijk,Rodrigo Muniz Carvalho|Jakub Kiwior|Chris Richards|Caoimhin Kelleher,Bukayo Saka,Phil Foden,326.0
Full Ridge,static,34,67.0,58.0,9.0,Bukayo Saka,2,2,11.0,Alfie Doughty|Bukayo Saka|Caoimhin Kelleher|Chris Richards|Ederson Santana de Moraes|Erling Haaland|Jakub Kiwior|Jarrod Bowen|Lewis Dunk|Luis Díaz|Ollie Watkins|Pascal Groß|Phil Foden|Rodrigo Muniz Carvalho|Virgil van Dijk,Alfie Doughty|Bukayo Saka|Ederson Santana de Moraes|Erling Haaland|Jarrod Bowen|Lewis Dunk|Luis Díaz|Ollie Watkins|Pascal Groß|Phil Foden|Virgil van Dijk,Rodrigo Muniz Carvalho|Jakub Kiwior|Chris Richards|Caoimhin Kelleher,Bukayo Saka,Phil Foden,393.0
Full Ridge,static,35,61.0,49.0,12.0,Bukayo Saka,1,1,6.0,Alfie Doughty|Bukayo Saka|Caoimhin Kelleher|Chris Richards|Ederson Santana de Moraes|Erling Haaland|Jakub Kiwior|Jarrod Bowen|Lewis Dunk|Luis Díaz|Ollie Watkins|Pascal Groß|Phil Foden|Rodrigo Muniz Carvalho|Virgil van Dijk,Alfie Doughty|Bukayo Saka|Ederson Santana de Moraes|Erling Haaland|Jarrod Bowen|Lewis Dunk|Luis Díaz|Ollie Watkins|Pascal Groß|Phil Foden|Virgil van Dijk,Rodrigo Muniz Carvalho|Jakub Kiwior|Chris Richards|Caoimhin Kelleher,Bukayo Saka,Phil Foden,454.0
Full Ridge,static,36,66.0,56.0,10.0,Bukayo Saka,0,0,0.0,Alfie Doughty|Bukayo Saka|Caoimhin Kelleher|Chris Richards|Ederson Santana de Moraes|Erling Haaland|Jakub Kiwior|Jarrod Bowen|Lewis Dunk|Luis Díaz|Ollie Watkins|Pascal Groß|Phil Foden|Rodrigo Muniz Carvalho|Virgil van Dijk,Alfie Doughty|Bukayo Saka|Ederson Santana de Moraes|Erling Haaland|Jarrod Bowen|Lewis Dunk|Luis Díaz|Ollie Watkins|Pascal Groß|Phil Foden|Virgil van Dijk,Rodrigo Muniz Carvalho|Jakub Kiwior|Chris Richards|Caoimhin Kelleher,Bukayo Saka,Phil Foden,520.0
