method,name,team,position,value,role,is_captain,is_vice_captain
Weighted Average,Bukayo Saka,Arsenal,MID,9.1,XI,True,False
Weighted Average,Cole Palmer,Chelsea,MID,5.8,XI,False,False
Weighted Average,Dominic Solanke,Bournemouth,FWD,7.0,XI,False,False
Weighted Average,Gabriel dos Santos Magalhães,Arsenal,DEF,5.2,XI,False,False
Weighted Average,Jordan Pickford,Everton,GK,4.6,XI,False,False
Weighted Average,Mohamed Salah,Liverpool,MID,13.0,XI,False,False
Weighted Average,Ollie Watkins,Aston Villa,FWD,8.8,XI,False,True
Weighted Average,Pascal Groß,Brighton,MID,6.5,XI,False,False
Weighted Average,Phil Foden,Man City,MID,8.1,XI,False,False
Weighted Average,Virgil van Dijk,Liverpool,DEF,6.4,XI,False,False
Weighted Average,William Saliba,Arsenal,DEF,5.7,XI,False,False
Weighted Average,Alphonse Areola,West Ham,GK,4.2,Bench,False,False
Weighted Average,Cameron Archer,Sheffield Utd,FWD,4.3,Bench,False,False
Weighted Average,Chris Richards,Crystal Palace,DEF,3.9,Bench,False,False
Weighted Average,Conor Bradley,Liverpool,DEF,4.1,Bench,False,False
Monte Carlo,Bukayo Saka,Arsenal,MID,9.1,XI,False,True
Monte Carlo,Dominic Solanke,Bournemouth,FWD,7.0,XI,False,False
Monte Carlo,Douglas Luiz Soares de Paulo,Aston Villa,MID,5.5,XI,False,False
Monte Carlo,Gabriel dos Santos Magalhães,Arsenal,DEF,5.2,XI,False,False
Monte Carlo,Kieran Trippier,Newcastle,DEF,6.9,XI,False,False
Monte Carlo,Mohamed Salah,Liverpool,MID,13.0,XI,False,False
Monte Carlo,Ollie Watkins,Aston Villa,FWD,8.8,XI,True,False
Monte Carlo,Phil Foden,Man City,MID,8.1,XI,False,False
Monte Carlo,Son Heung-min,Spurs,MID,9.6,XI,False,False
Monte Carlo,William Saliba,Arsenal,DEF,5.7,XI,False,False
Monte Carlo,Đorđe Petrović,Chelsea,GK,4.5,XI,False,False
Monte Carlo,Alphonse Areola,West Ham,GK,4.2,Bench,False,False
Monte Carlo,Amari'i Bell,Luton,DEF,3.9,Bench,False,False
Monte Carlo,Cameron Archer,Sheffield Utd,FWD,4.3,Bench,False,False
Monte Carlo,Conor Bradley,Liverpool,DEF,4.1,Bench,False,False
ICT Score,Alfie Doughty,Luton,DEF,4.6,XI,False,False
ICT Score,Bruno Borges Fernandes,Man Utd,MID,8.2,XI,False,False
ICT Score,Bukayo Saka,Arsenal,MID,9.1,XI,True,False
ICT Score,Dominic Solanke,Bournemouth,FWD,7.0,XI,False,False
ICT Score,James Trafford,Burnley,GK,4.5,XI,False,False
