method,solution_id,policy,realized_points,mean_weekly_points,total_autosubs,substitute_points,total_planned_absences,design,design_family,xi_cap,bench_budget_rule,delta,is_nondominated,is_compromise,xi_score,bench_score,xi_spend,bench_spend,total_spend,formation,captain,vice_captain
"ARIMA(0,0,1)","ARIMA(0,0,1) | joint_pareto | delta=0.000",sequential,765.0,63.75,14,47.0,26,Joint Pareto δ=0.0%,Joint Pareto,,endogenous,0.0,True,False,63.02194100646938,8.971304961797689,83.79999999999998,16.2,99.99999999999999,3-5-2,Bukayo Saka,Ollie Watkins
"ARIMA(0,0,1)","ARIMA(0,0,1) | joint_pareto | delta=0.000",static,765.0,63.75,14,47.0,26,Joint Pareto δ=0.0%,Joint Pareto,,endogenous,0.0,True,False,63.02194100646938,8.971304961797689,83.79999999999998,16.2,99.99999999999999,3-5-2,Bukayo Saka,Ollie Watkins
"ARIMA(0,0,1)","ARIMA(0,0,1) | joint_pareto | delta=0.020",sequential,714.0,59.5,17,38.0,25,Joint Pareto δ=2.0%,Joint Pareto,,endogenous,0.02,True,True,61.855015151672035,15.064187675127883,80.6,19.4,100.0,3-4-3,Bukayo Saka,Ollie Watkins
"ARIMA(0,0,1)","ARIMA(0,0,1) | joint_pareto | delta=0.020",static,694.0,57.833333333333336,20,115.0,28,Joint Pareto δ=2.0%,Joint Pareto,,endogenous,0.02,True,True,61.855015151672035,15.064187675127883,80.6,19.4,100.0,3-4-3,Bukayo Saka,Ollie Watkins
"ARIMA(0,0,1)","ARIMA(0,0,1) | two_stage | actual_remainder | xi_cap=83.5",sequential,665.0,55.416666666666664,16,53.0,27,"Two-stage actual remainder, XI cap £83.5m",Two-stage,83.5,actual_remainder,,,False,62.75130687868228,10.595690489175253,83.49999999999999,16.5,99.99999999999999,3-5-2,Bukayo Saka,Ollie Watkins
"ARIMA(0,0,1)","ARIMA(0,0,1) | two_stage | actual_remainder | xi_cap=83.5",static,666.0,55.5,15,50.0,26,"Two-stage actual remainder, XI cap £83.5m",Two-stage,83.5,actual_remainder,,,False,62.75130687868228,10.595690489175253,83.49999999999999,16.5,99.99999999999999,3-5-2,Bukayo Saka,Ollie Watkins
"ARIMA(0,0,1)","ARIMA(0,0,1) | two_stage | fixed_split | xi_cap=83.5",sequential,665.0,55.416666666666664,16,53.0,27,"Two-stage fixed allocation, XI cap £83.5m",Two-stage,83.5,fixed_split,,,False,62.75130687868228,10.595690489175253,83.49999999999999,16.5,99.99999999999999,3-5-2,Bukayo Saka,Ollie Watkins
"ARIMA(0,0,1)","ARIMA(0,0,1) | two_stage | fixed_split | xi_cap=83.5",static,666.0,55.5,15,50.0,26,"Two-stage fixed allocation, XI cap £83.5m",Two-stage,83.5,fixed_split,,,False,62.75130687868228,10.595690489175253,83.49999999999999,16.5,99.99999999999999,3-5-2,Bukayo Saka,Ollie Watkins
"ARIMA(1,0,0)","ARIMA(1,0,0) | joint_pareto | delta=0.000",sequential,741.0,61.75,14,45.0,28,Joint Pareto δ=0.0%,Joint Pareto,,endogenous,0.0,True,False,63.57823741266316,10.438759735751036,83.69999999999999,16.299999999999997,99.99999999999999,3-5-2,Bukayo Saka,Ollie Watkins
"ARIMA(1,0,0)","ARIMA(1,0,0) | joint_pareto | delta=0.000",static,743.0,61.916666666666664,12,43.0,26,Joint Pareto δ=0.0%,Joint Pareto,,endogenous,0.0,True,False,63.57823741266316,10.438759735751036,83.69999999999999,16.299999999999997,99.99999999999999,3-5-2,Bukayo Saka,Ollie Watkins
"ARIMA(1,0,0)","ARIMA(1,0,0) | joint_pareto | delta=0.020",sequential,708.0,59.0,11,29.0,18,Joint Pareto δ=2.0%,Joint Pareto,,endogenous,0.02,True,True,62.309095908989306,15.414246300555272,78.1,21.5,99.6,3-5-2,Bukayo Saka,Ollie Watkins
"ARIMA(1,0,0)","ARIMA(1,0,0) | joint_pareto | delta=0.020",static,706.0,58.833333333333336,12,47.0,19,Joint Pareto δ=2.0%,Joint Pareto,,endogenous,0.02,True,True,62.309095908989306,15.414246300555272,78.1,21.5,99.6,3-5-2,Bukayo Saka,Ollie Watkins
"ARIMA(1,0,0)","ARIMA(1,0,0) | two_stage | actual_remainder | xi_cap=83.5",sequential,666.0,55.5,16,57.0,26,"Two-stage actual remainder, XI cap £83.5m",Two-stage,83.5,actual_remainder,,,False,63.32948698670174,12.086707910862549,83.39999999999999,16.6,100.0,3-5-2,Bukayo Saka,Ollie Watkins
"ARIMA(1,0,0)","ARIMA(1,0,0) | two_stage | actual_remainder | xi_cap=83.5",static,672.0,56.0,16,74.0,26,"Two-stage actual remainder, XI cap £83.5m",Two-stage,83.5,actual_remainder,,,False,63.32948698670174,12.086707910862549,83.39999999999999,16.6,100.0,3-5-2,Bukayo Saka,Ollie Watkins
