series,GW27_38_total,source_type
"ARIMA (1,0,1) Sequential (Budget = 80)",777.0,raw-data recomputation
"ARIMA (1,0,0) Sequential (Budget = 70)",772.0,raw-data recomputation
"ARIMA (0,0,1, Budget = 75)",771.0,raw-data recomputation
"ARIMA (1,0,0) Sequential (Budget = 75)",762.0,raw-data recomputation
"ARIMA (1,0,1, Budget = 80)",758.0,raw-data recomputation
Simple Avg. Sequential (Budget = 80),754.0,raw-data recomputation
"ARIMA (1,0,0, Budget = 75)",753.0,raw-data recomputation
"ARIMA (1,0,0, Budget = 70)",749.0,raw-data recomputation
"ARIMA (1,0,1) Sequential (Budget = 70)",743.0,raw-data recomputation
ICT Score (Budget = 80),742.0,raw-data recomputation
ICT Score (Budget = 70),736.0,raw-data recomputation
Weighted Avg. Sequential (Budget = 80),735.0,raw-data recomputation
"ARIMA (0,0,1) Sequential (Budget = 80)",734.0,raw-data recomputation
Weighted Avg. (Budget = 80),728.0,raw-data recomputation
"ARIMA (0,0,1, Budget = 70)",724.0,raw-data recomputation
Hybrid ICT Score (Budget = 80),724.0,raw-data recomputation
"ARIMA (1,0,0, Budget = 80)",723.0,raw-data recomputation
Weighted Avg. Sequential,722.0,raw-data recomputation
Weighted Avg. Sequential (Budget = 70),720.0,raw-data recomputation
"ARIMA (0,0,1, Budget = 80)",719.0,raw-data recomputation
"ARIMA (0,0,1) Sequential (Budget = 70)",718.0,raw-data recomputation
Weighted Avg.,717.0,raw-data recomputation
Hybrid Weighted 1:2 (Higher Total Points),717.0,raw-data recomputation
"ARIMA (1,0,1)",717.0,raw-data recomputation
Simple Avg. (Budget = 80),713.0,raw-data recomputation
"ARIMA (1,0,1) Sequential",712.0,raw-data recomputation
Weighted Avg. (Budget = 75),705.0,raw-data recomputation
"ARIMA (0,0,1) Sequential (Budget = 60)",702.0,raw-data recomputation
Hybrid Weighted 2:1 (Lower Total Points),701.0,raw-data recomputation
Hybrid ICT Score (Budget = 70),696.0,raw-data recomputation
Weighted Avg. (Budget = 70),695.0,raw-data recomputation
Simple Avg. (Budget = 75),694.0,raw-data recomputation
Monte Carlo (Budget = 75),694.0,raw-data recomputation
ICT Score (Budget = 75),693.0,raw-data recomputation
"ARIMA (1,0,1, Budget = 70)",691.0,raw-data recomputation
Linear Regression,688.0,raw-data recomputation
Simple Avg. Sequential (Budget = 70),688.0,raw-data recomputation
Monte Carlo (Budget = 80),688.0,raw-data recomputation
Simple Avg. Sequential (Budget = 65),683.0,raw-data recomputation
Hybrid Linear Regression 1:2 (Higher Total Points),678.0,raw-data recomputation
Robust ICT Score,676.0,raw-data recomputation
"ARIMA (1,0,1) Sequential (Budget = 60)",671.0,raw-data recomputation
Hybrid ARIMA 1:2 (Higher Total Points),669.0,raw-data recomputation
