method,availability_design,gamma,realized_points,mean_squad_start_probability,minimum_squad_start_probability,players_below_70pct_start_probability,total_autosubs,substitute_points,formation,captain,vice_captain
Simple average,Unadjusted joint $\delta=0$,0.0,625.0,0.7404761904761905,0.14285714285714285,4,12,30.0,3-5-2,Ollie Watkins,Bukayo Saka
Simple average,Expected availability,0.0,696.0,0.8857142857142857,0.6428571428571429,1,21,78.0,3-5-2,Ollie Watkins,Bukayo Saka
Simple average,Availability robust,0.5,638.0,0.9357142857142855,0.8571428571428571,0,22,78.0,3-4-3,Ollie Watkins,Bukayo Saka
Weighted average,Unadjusted joint $\delta=0$,0.0,721.0,0.8214285714285715,0.14285714285714285,2,8,23.0,3-5-2,Bukayo Saka,Ollie Watkins
Weighted average,Expected availability,0.0,628.0,0.9142857142857143,0.8214285714285714,0,10,37.0,3-5-2,Ollie Watkins,Bukayo Saka
Weighted average,Availability robust,0.5,627.0,0.9357142857142855,0.8571428571428571,0,12,31.0,3-5-2,Ollie Watkins,Bukayo Saka
"ARIMA(0,0,1)",Unadjusted joint $\delta=0$,0.0,765.0,0.761904761904762,0.14285714285714285,5,14,47.0,3-5-2,Bukayo Saka,Ollie Watkins
"ARIMA(0,0,1)",Expected availability,0.0,622.0,0.9119047619047617,0.75,0,21,52.0,3-5-2,Ollie Watkins,Bukayo Saka
"ARIMA(0,0,1)",Availability robust,0.5,640.0,0.9333333333333331,0.8571428571428571,0,18,80.0,3-4-3,Ollie Watkins,Bukayo Saka
"ARIMA(1,0,0)",Unadjusted joint $\delta=0$,0.0,743.0,0.761904761904762,0.21428571428571427,5,12,43.0,3-5-2,Bukayo Saka,Ollie Watkins
"ARIMA(1,0,0)",Expected availability,0.0,625.0,0.9119047619047617,0.75,0,21,52.0,3-5-2,Bukayo Saka,Ollie Watkins
"ARIMA(1,0,0)",Availability robust,0.5,649.0,0.9333333333333331,0.8571428571428571,0,11,54.0,3-4-3,Ollie Watkins,Bukayo Saka
"ARIMA(1,0,1)",Unadjusted joint $\delta=0$,0.0,737.0,0.7380952380952382,0.21428571428571427,5,18,75.0,3-5-2,Bukayo Saka,Ollie Watkins
"ARIMA(1,0,1)",Expected availability,0.0,633.0,0.8857142857142857,0.6071428571428571,1,20,50.0,3-5-2,Bukayo Saka,Ollie Watkins
"ARIMA(1,0,1)",Availability robust,0.5,643.0,0.926190476190476,0.8571428571428571,0,18,83.0,3-4-3,Ollie Watkins,Bukayo Saka
